# amplicon position	effect
118	4.159733777038269742e-01
119	4.159733777038269742e-01
120	4.159733777038269742e-01
121	4.159733777038269742e-01
122	4.159733777038269742e-01
123	4.159733777038269742e-01
124	4.159733777038269742e-01
125	4.991680532445923468e-01
126	4.991680532445923468e-01
127	4.991680532445923468e-01
128	4.991680532445923468e-01
129	5.823627287853577750e-01
130	1.663893510815307897e+00
131	1.913477537437604070e+00
132	1.996672212978369387e+00
133	2.079866888519134704e+00
134	2.163061564059900022e+00
135	2.579034941763727051e+00
136	2.745424292845257686e+00
137	2.911813643926788764e+00
138	3.660565723793677062e+00
139	3.826955074875208140e+00
140	3.993344425956738775e+00
141	4.242928452579034726e+00
142	4.658901830282862200e+00
143	4.908485856905158151e+00
144	5.158069883527454103e+00
145	5.324459234608984737e+00
146	5.657237936772046893e+00
147	1.231281198003327759e+01
148	2.762063227953411015e+01
149	2.970049916805324486e+01
150	1.514143094841930193e+01
151	1.464226289517470825e+01
152	1.198003327787021632e+01
153	4.991680532445923468e+00
154	4.492512479201330677e+00
155	3.910149750415973458e+00
156	2.329450915141431100e+00
157	2.163061564059900022e+00
158	1.996672212978369387e+00
159	1.497504159733777040e+00
160	1.331114808652246184e+00
161	9.151414309484192655e-01
162	9.151414309484192655e-01
163	7.487520798668885202e-01
164	5.823627287853577750e-01
165	4.991680532445923468e-01
166	4.159733777038269742e-01
167	4.159733777038269742e-01
168	3.327787021630615460e-01
169	3.327787021630615460e-01
170	2.495840266222961734e-01
171	2.495840266222961734e-01
172	2.495840266222961734e-01
173	1.663893510815307730e-01
174	1.663893510815307730e-01
175	8.319467554076538651e-02
176	8.319467554076538651e-02
177	8.319467554076538651e-02
178	8.319467554076538651e-02
179	8.319467554076538651e-02
180	8.319467554076538651e-02
181	8.319467554076538651e-02
182	8.319467554076538651e-02
183	8.319467554076538651e-02
184	8.319467554076538651e-02
185	8.319467554076538651e-02
186	8.319467554076538651e-02
187	8.319467554076538651e-02
188	8.319467554076538651e-02
189	8.319467554076538651e-02
190	8.319467554076538651e-02
191	8.319467554076538651e-02
192	0.000000000000000000e+00
193	0.000000000000000000e+00
194	0.000000000000000000e+00
195	0.000000000000000000e+00
196	0.000000000000000000e+00
197	0.000000000000000000e+00
198	0.000000000000000000e+00
199	0.000000000000000000e+00
200	0.000000000000000000e+00
201	0.000000000000000000e+00
202	0.000000000000000000e+00
203	0.000000000000000000e+00
204	0.000000000000000000e+00
205	0.000000000000000000e+00
206	0.000000000000000000e+00
207	0.000000000000000000e+00
208	0.000000000000000000e+00
209	0.000000000000000000e+00
210	0.000000000000000000e+00
211	0.000000000000000000e+00
212	0.000000000000000000e+00
213	0.000000000000000000e+00
214	0.000000000000000000e+00
215	0.000000000000000000e+00
216	0.000000000000000000e+00
217	0.000000000000000000e+00
218	0.000000000000000000e+00
219	0.000000000000000000e+00
220	0.000000000000000000e+00
221	0.000000000000000000e+00
222	0.000000000000000000e+00
223	0.000000000000000000e+00
224	0.000000000000000000e+00
225	0.000000000000000000e+00
226	0.000000000000000000e+00
227	0.000000000000000000e+00
228	0.000000000000000000e+00
229	0.000000000000000000e+00
230	0.000000000000000000e+00
231	0.000000000000000000e+00
232	0.000000000000000000e+00
233	0.000000000000000000e+00
234	0.000000000000000000e+00
235	0.000000000000000000e+00
236	0.000000000000000000e+00
237	0.000000000000000000e+00
238	0.000000000000000000e+00
